area_name_en,property_type_en,median_price,meter_sale_price,price_per_sqm,sale_count,growth_stage,median_rent,meter_rent_price,rent_count,rental_yield,growth_stage_encoded,cluster_id,cluster_label
Eyal Nasser,Building,4100000.0,21334.31,28274.877036213627,144,,,,1,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Ghadeer Al tair,Land,2650000.0,3431.005,3788.6729611746646,12,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Ghadeer Al tair,Villa,1515000.0,4212.0,3578.361681724803,17,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Hadaeq Sheikh Mohammed Bin Rashid,Land,9948040.0,15839.95,16942.239684946202,220,Early Growth,4000000.0,9263.33,26,0.4021,1.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1517500.0,19698.14,19972.98121369109,1710,Early Growth,1275000.0,14814.915,106,0.8402,1.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Hadaeq Sheikh Mohammed Bin Rashid,Villa,4060000.0,14524.94,15409.248321895804,1033,Maturity,2651260.0,8919.235,167,0.653,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Hessyan First,Unit,435000.0,5858.11,6002.973600879174,65,Stabilized / Legacy,816885.0,10654.46,60,1.8779,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Hessyan First,Villa,1833100.0,16620.465,16424.565419673403,54,Off-Plan or Launch,1704195.0,14587.29,11,0.9297,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Hor Al Anz,Building,2250000.0,9931.78,11376.672894972018,679,,1200000.0,5489.48,5,0.5333,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Hor Al Anz,Land,1600000.0,6960.735000000001,7837.729435474213,126,,,,2,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Hor Al Anz,Villa,1300000.0,6458.28,7274.947044519313,585,,3600000.0,15612.13,9,2.7692,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Hor Al Anz East,Villa,2200000.0,2583.235,2831.7994012887234,84,,1202500.0,1294.36,2,0.5466,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Island 2,Land,48000000.0,28354.46,36160.06773352232,63,,,,2,,,3,"Cluster 3: Yield 354.0%, Price AED 66134635, Stage ~ 0.0."
Jabal Ali,Land,6862688.5,6039.85,8867.780696809954,386,Maturity,3036250.0,11568.169999999998,25,0.4424,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Jabal Ali,Unit,480000.0,7500.0,7983.246555596242,6965,,646407.0,7474.49,1765,1.3467,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jabal Ali First,Building,33267800.0,22524.66,21206.106442273347,47,Off-Plan or Launch,45000000.0,32522.21,4,1.3527,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Jabal Ali First,Land,2200000.0,3035.77,5206.666497735391,805,Off-Plan or Launch,3450000.0,7350.32,27,1.5682,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jabal Ali First,Unit,750000.0,9544.9,9757.83746210071,3225,Maturity,678010.0,7450.66,938,0.904,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Jabal Ali First,Villa,2850000.0,11099.075,11246.751449882908,1444,Stabilized / Legacy,2400000.0,8540.465,345,0.8421,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Jabal Ali Industrial First,Building,22000000.0,10763.92,10164.830302126527,143,,,,1,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Jabal Ali Industrial Second,Unit,500000.0,9185.55,9841.907347535527,317,Stabilized / Legacy,532500.0,8791.29,42,1.065,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Jabal Ali Industrial Second,Villa,9350000.0,11120.1,11120.097048119693,1,Stabilized / Legacy,,,1,,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Jumeirah First,Land,7300000.0,7461.65,8855.068429788447,301,,3870000.0,4622.285,16,0.5301,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jumeirah First,Unit,2958000.0,29043.97,29641.072152028897,329,Off-Plan or Launch,2098800.0,23460.18,14,0.7095,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Jumeirah First,Villa,4695000.0,6498.235000000001,9294.07015750816,248,Off-Plan or Launch,3600000.0,5584.7,13,0.7668,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jumeirah Second,Villa,5000000.0,5651.06,6382.773334026745,113,,4535000.0,7395.725,14,0.907,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jumeirah Third,Land,7800000.0,6535.79,7633.32744614538,37,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Jumeirah Third,Villa,4500000.0,4999.505,5484.871185371272,250,,7650000.0,6593.975,16,1.7,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Madinat Al Mataar,Unit,542000.0,8305.84,8567.226584301767,1423,Early Growth,872147.0,6449.89,75,1.6091,1.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Madinat Al Mataar,Villa,2340000.0,10872.39,11100.861073721626,166,Off-Plan or Launch,1840000.0,8159.635,58,0.7863,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Madinat Dubai Almelaheyah,Building,77638540.0,19371.42,20035.98709632913,6,Off-Plan or Launch,,,1,,0.0,3,"Cluster 3: Yield 354.0%, Price AED 66134635, Stage ~ 0.0."
Madinat Dubai Almelaheyah,Unit,2314585.0,19823.96,20592.051995934784,84,Stabilized / Legacy,1400000.0,15019.85,3,0.6049,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Madinat Hind 4,Land,1350000.0,9142.6,8774.307860994126,1524,Early Growth,1212500.0,7285.97,206,0.8981,1.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Madinat Hind 4,Unit,417000.0,9657.48,10051.731838680313,187,Early Growth,315240.0,7890.51,5,0.756,1.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Mankhool,Building,24000000.0,18952.49,21497.48084531113,115,,,,2,,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Mankhool,Land,7100000.0,5704.860000000001,10501.237416030095,58,,,,2,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Mankhool,Villa,2900000.0,3253.13,3407.156464532464,62,,2957500.0,3509.84,3,1.0198,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Marsa Dubai,Unit,1400000.0,12686.64,14459.712271525032,43625,Stabilized / Legacy,1200000.0,9711.6,5261,0.8571,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Marsa Dubai,Villa,5000000.0,11850.53,13171.8006235154,65,Off-Plan or Launch,2850000.0,7451.82,8,0.57,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Me'Aisem First,Land,4164150.0,3767.36,7505.438190552926,315,Off-Plan or Launch,4800000.0,7268.17,5,1.1527,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Me'Aisem First,Unit,460000.0,9035.27,9090.75659920299,4855,Stabilized / Legacy,637500.0,7488.225,574,1.3859,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Me'Aisem First,Villa,6776000.0,12366.33,13891.603347104769,811,Maturity,5013475.5,6989.455,112,0.7399,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Mirdif,Building,6062912.5,4238.6,5516.66915529941,124,Off-Plan or Launch,,,1,,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Mirdif,Land,2250000.0,2430.85,3641.7091736897455,398,,,,2,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Mirdif,Unit,1371666.5,11045.585,11868.185344320877,170,Stabilized / Legacy,1105000.0,8826.36,61,0.8056,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Mirdif,Villa,1750000.0,2138.42,3066.261146953351,2659,,3000000.0,4001.86,106,1.7143,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah First,Building,2500000.0,1838.64,2179.967740108053,30,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah First,Land,2500000.0,2125.16,1895.964872388648,46,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
